[*] GHOSTWIRE LOCAL AUDIT STARTED
PID	Status	Label
91602	-9	com.apple.scopedbookmarksagent.xpc
90692	0	com.openai.chat-helper
31324	-9	com.apple.UsageTrackingAgent
31784	-9	com.apple.email.maild
31325	-9	com.apple.donotdisturbd
244	-9	com.apple.knowledge-agent
31783	-9	com.apple.icloudmailagent
90676	0	com.apple.wifi.WiFiAgent
91251	0	com.apple.passd
22560	-9	com.apple.sociallayerd
23083	-9	com.apple.keychainsharingmessagingd
624	0	com.apple.CoreAuthentication.agent
93908	-9	com.apple.syncdefaultsd
90663	0	com.apple.chronod
90683	0	com.apple.corespeechd
22292	-9	com.apple.itunescloudd
31879	-9	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
165	-9	com.apple.security.keychain-circle-notification
93690	0	com.apple.appstorecomponentsd
87431	-9	com.apple.amsengagementd
93933	-9	com.apple.proactived
87661	-9	com.apple.ModelCatalogAgent
90599	0	com.apple.universalaccessd
242	-9	com.apple.linkd
31786	-9	com.apple.recentsd
416	-9	com.apple.spotlightknowledged.updater
90633	0	com.apple.usernoted
22765	-9	com.apple.geodMachServiceBridge
241	-9	com.apple.calaccessd
94735	-9	com.apple.swcd
90696	0	com.apple.AirPlayUIAgent
90737	0	com.apple.corespotlightd
94861	-9	com.apple.naturallanguaged
90674	0	com.apple.xtyped
90709	0	com.apple.Spotlight
90921	0	com.apple.appstoreagent
31749	-9	com.apple.accessibility.mediaaccessibilityd
879	0	com.apple.metadata.mdbulkimport
23241	0	com.apple.mdworker.shared.01000000-0000-0000-0000-000000000000
42551	-9	com.apple.carboncore.csnameddata
239	-9	com.apple.contactsd
562	0	com.apple.distnoted.xpc.agent
108	-9	com.apple.geod
