PID	Status	Label
-	0	com.apple.USBAgent
-	0	com.apple.previewshellmacapp
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
-	-9	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
92258	0	com.apple.storeuid
-	-9	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
90704	0	com.apple.CryptoTokenKit.ahp.agent
91249	0	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
-	0	com.apple.remindd
-	0	com.apple.appsleep
90665	0	com.apple.duetexpertd
90655	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
-	0	com.apple.siri-distributed-evaluation
90624	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
-	0	com.apple.cvmsCompAgent_x86_64
578	0	com.apple.lsd
-	-9	com.apple.siri.context.service
-	0	com.apple.fskit.fskit_agent
94722	-9	com.apple.pluginkit.pkd
84794	0	com.apple.mdworker.shared.0D000000-0500-0000-0000-000000000000
84796	0	com.apple.mdworker.shared.06000000-0100-0000-0000-000000000000
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
-	-9	com.apple.webkit.webpushd
-	-9	com.apple.weatherd
-	-9	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
90627	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
-	-9	com.apple.CallHistorySyncHelper
-	-9	com.apple.colorsync.useragent
-	-9	com.apple.analyticsagent
-	-9	com.apple.appleaccountd
23602	-9	com.apple.parsecd
-	-9	com.apple.mlruntimed
90605	0	com.apple.Dock.agent
-	-9	com.apple.parsec-fbf
84611	-9	com.apple.dmd
87709	-9	com.apple.transparencyd
24286	-9	com.apple.AppSSOAgent
90991	0	com.apple.mbuseragent
-	0	com.apple.security.cloudkeychainproxy3
90593	0	com.apple.UserEventAgent-Aqua
-	-9	com.apple.followupd
90639	0	com.apple.identityservicesd
90617	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
-	-9	com.apple.generativeexperiencesd
-	-9	com.apple.XProtect.agent.scan
-	-9	com.apple.storekitagent
91389	0	com.apple.security.DiskUnmountWatcher
23463	-9	com.apple.CoreLocationAgent
81223	0	application.com.apple.Terminal.1152921500311911761.1152921500311911766
-	0	com.apple.StorageManagement.Service
-	-9	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
23542	-9	com.apple.backgroundtaskmanagement.agent
84306	-9	com.apple.intelligenceflowd
84299	-9	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
84304	-9	com.apple.feedbackd
-	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
23459	-9	com.apple.BTServer.cloudpairing
-	0	com.apple.managedcorespotlightd
90625	0	com.apple.coreservices.sharedfilelistd
90602	0	com.apple.pboard
-	0	com.apple.nowplayingtouchui
-	-9	com.apple.MobileAccessoryUpdater.fudHelperAgent
-	-9	com.apple.reversetemplated
-	-9	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
90630	0	com.apple.rapportd
23888	-9	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.DistributionKit.DistributionHelper
-	-9	com.apple.accounts.dom
90772	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
-	-9	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
599	0	com.apple.containermanagerd
-	-9	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
-	0	com.apple.Notes.datastore
84592	-9	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
-	0	com.apple.IOUIAgent
80477	0	application.com.google.Chrome.2281358.5464239
183	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
90645	0	com.apple.accountsd
-	-9	com.apple.cdpd
-	-9	com.apple.routined
81855	-9	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
90686	0	com.apple.BiomeAgent
-	0	com.apple.storelegacy
83293	-9	com.apple.OSDUIHelper
84278	-9	com.apple.audio.AudioComponentRegistrar
83546	-9	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
-	0	com.apple.lockoutagent
-	0	com.apple.videosubscriptionsd
81946	-9	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
90688	0	com.apple.notificationcenterui.agent
84772	-9	com.apple.protectedcloudstorage.protectedcloudkeysyncing
90689	0	com.apple.imklaunchagent
90626	0	com.apple.FileProvider
-	0	com.apple.imcore.imtransferagent
-	-9	com.apple.mobiletimerd
-	0	com.apple.btsa
90691	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
-	-9	com.apple.EscrowSecurityAlert
84254	0	com.microsoft.EdgeUpdater.wake
84266	-9	com.apple.MTLAssetUpgraderD
-	0	com.apple.ptpcamerad
93733	0	com.apple.metadata.mdwrite
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	0	com.apple.spotlightknowledged
-	0	com.apple.securityuploadd
-	-9	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
84268	-9	com.apple.siriknowledged
91633	0	com.apple.powerchime
90671	0	com.apple.sharingd
90752	0	com.apple.seserviced
-	0	com.apple.iCloudUserNotificationsd
-	-9	com.apple.metrickitd
-	0	com.apple.storeassetd
90721	0	com.apple.familycircled
-	0	com.apple.FontRegistryUIAgent
-	-9	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
23701	-9	com.apple.TextInputSwitcher
23789	-9	com.apple.intelligentroutingd
84421	-9	com.apple.AMPArtworkAgent
90698	0	com.apple.imagent
-	0	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
-	-9	com.apple.assistant_cdmd
-	-9	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
91623	0	com.apple.imautomatichistorydeletionagent
90606	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
90603	0	com.apple.talagent
90618	0	com.apple.suggestd
-	0	com.apple.navd
-	0	com.apple.appleidsetupd
-	0	com.apple.RemoteDesktop.agent
-	-9	com.apple.iCloudNotificationAgent
84420	-9	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
-	-9	com.apple.Maps.mapssyncd
84801	-9	com.apple.swtransparencyd
-	0	com.apple.gputoolsserviced
90611	0	com.apple.usernotificationsd
-	0	com.apple.FamilyControlsAgent
90978	0	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
-	0	com.apple.mdworker.single.arm64
-	0	com.apple.ContainerMigrationService
90621	0	com.apple.secd
93970	-9	com.apple.hiservices-xpcservice
-	-9	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
23538	-9	com.apple.assistantd
90812	0	com.apple.siriinferenced
-	-9	com.apple.studentd
-	0	com.apple.FollowUpUI
90745	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
90723	0	com.apple.uikitsystemapp
-	0	com.apple.controlstrip
-	-9	com.apple.financed
-	-9	com.apple.findmy.findmylocateagent
-	0	com.apple.previewsd
-	-9	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
-	0	com.apple.assessmentagent
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
-	-9	com.apple.scopedbookmarksagent.xpc
-	0	com.apple.ensemble
-	-9	com.apple.ReportCrash
-	0	com.apple.biomesyncd
-	-9	com.apple.ciphermld
60769	0	com.openai.chat-helper
-	-9	com.apple.UsageTrackingAgent
-	-9	com.apple.email.maild
-	-9	com.apple.donotdisturbd
-	0	com.apple.locationaccessstored
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
-	-9	com.apple.Maps.mapspushd
-	0	com.apple.voicememod
-	-9	com.apple.gamed
-	0	com.apple.STMUIHelper
-	0	com.apple.intelligencecontextd
244	-9	com.apple.knowledge-agent
-	0	com.apple.midiserver
-	0	com.apple.mobiledeviceupdater
-	-9	com.apple.helpd
-	-9	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
80343	0	application.com.apple.Safari.82729.83486
90676	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.diskspaced
91251	0	com.apple.passd
-	0	com.apple.DictationIM
84414	-9	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
-	0	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
-	-9	com.apple.keychainsharingmessagingd
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
-	-9	com.apple.podcasts.PodcastContentService
624	0	com.apple.CoreAuthentication.agent
93908	-9	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
90663	0	com.apple.chronod
40902	-9	com.apple.accessibility.heard
90683	0	com.apple.corespeechd
-	-9	com.apple.geoanalyticsd
-	0	com.apple.AMPSystemPlayerAgent
84419	-9	com.apple.itunescloudd
-	0	com.apple.scrod
-	-9	com.apple.spindump_agent
-	0	com.apple.AquaAppearanceHelper
-	-9	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
-	-9	com.apple.milod
-	0	com.apple.bookdatastored
23461	-9	com.apple.security.keychain-circle-notification
93690	0	com.apple.appstorecomponentsd
-	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
-	0	com.apple.XProtect.agent.scan.startup
84422	-9	com.apple.amsengagementd
-	-9	com.apple.betaenrollmentagent
-	0	com.apple.AirPortBaseStationAgent
-	-9	com.apple.proactiveeventtrackerd
93933	-9	com.apple.proactived
-	-9	com.apple.ModelCatalogAgent
90599	0	com.apple.universalaccessd
242	-9	com.apple.linkd
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
-	-9	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
-	-9	com.apple.recentsd
-	-9	com.apple.spotlightknowledged.updater
-	0	com.apple.transparencyStaticKey
-	-9	com.apple.sirittsd
-	-9	com.apple.dprivacyd
90633	0	com.apple.usernoted
-	-9	com.apple.geodMachServiceBridge
84305	-9	com.apple.Safari.History
-	-9	com.apple.translationd
-	0	com.apple.AddressBook.abd
23517	-9	com.apple.calaccessd
-	0	com.apple.ScreenReaderUIServer
-	0	com.apple.newsd
-	0	com.apple.systemsettingsagent
83779	-9	com.apple.swcd
90696	0	com.apple.AirPlayUIAgent
-	-9	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.shazamd
90737	0	com.apple.corespotlightd
81737	-9	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
80426	0	application.org.mozilla.firefox.2057113.5224311
-	-9	com.apple.watchlistd
90674	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
90709	0	com.apple.Spotlight
-	-9	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
83900	-9	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
-	-9	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
879	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
-	0	com.apple.WorkflowKit.ShortcutsViewService
-	-9	com.apple.carboncore.csnameddata
239	-9	com.apple.contactsd
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
562	0	com.apple.distnoted.xpc.agent
84274	-9	com.apple.SetStoreUpdateService
-	-9	com.apple.geod
